{'loss': 0.6931, 'grad_norm': 26.219816207885742, 'learning_rate': 1e-06, 'rewards/chosen': 0.0, 'rewards/rejected': 0.0, 'rewards/accuracies': 0.0, 'rewards/margins': 0.0, 'logps/chosen': -9.16252326965332, 'logps/rejected': -72.93712615966797, 'logits/chosen': -18.747289657592773, 'logits/rejected': -18.851369857788086, 'epoch': 0.0}
{'loss': 0.7237, 'grad_norm': 74.96805572509766, 'learning_rate': 3.3e-07, 'rewards/chosen': 0.002203369280323386, 'rewards/rejected': 0.0625, 'rewards/accuracies': 0.0, 'rewards/margins': -0.06029663234949112, 'logps/chosen': -297.3485107421875, 'logps/rejected': -392.2042541503906, 'logits/chosen': -21.411636352539062, 'logits/rejected': -22.075672149658203, 'epoch': 0.07}
{'loss': 0.7059, 'grad_norm': 51.86052322387695, 'learning_rate': 3.2e-07, 'rewards/chosen': -0.02826080285012722, 'rewards/rejected': -0.0029159546829760075, 'rewards/accuracies': 0.0, 'rewards/margins': -0.0253448486328125, 'logps/chosen': -198.0576629638672, 'logps/rejected': -196.9878692626953, 'logits/chosen': -17.65376853942871, 'logits/rejected': -20.38153076171875, 'epoch': 0.07}
{'loss': 0.6873, 'grad_norm': 84.51074981689453, 'learning_rate': 3.1e-07, 'rewards/chosen': 0.0007446288946084678, 'rewards/rejected': -0.01099243201315403, 'rewards/accuracies': 1.0, 'rewards/margins': 0.011737060733139515, 'logps/chosen': -425.158447265625, 'logps/rejected': -376.4998474121094, 'logits/chosen': -24.014646530151367, 'logits/rejected': -20.288799285888672, 'epoch': 0.07}
{'loss': 0.67, 'grad_norm': 130.5468292236328, 'learning_rate': 3e-07, 'rewards/chosen': -0.0017211914528161287, 'rewards/rejected': -0.04865112528204918, 'rewards/accuracies': 1.0, 'rewards/margins': 0.04692993313074112, 'logps/chosen': -74.92378234863281, 'logps/rejected': -752.63232421875, 'logits/chosen': -26.122303009033203, 'logits/rejected': -22.71095848083496, 'epoch': 0.07}
{'loss': 0.7469, 'grad_norm': 83.4552230834961, 'learning_rate': 2.9e-07, 'rewards/chosen': -0.07545166462659836, 'rewards/rejected': 0.02936706505715847, 'rewards/accuracies': 0.0, 'rewards/margins': -0.10481873154640198, 'logps/chosen': -744.7777099609375, 'logps/rejected': -168.8951416015625, 'logits/chosen': -22.09003257751465, 'logits/rejected': -16.072439193725586, 'epoch': 0.07}
{'loss': 0.7247, 'grad_norm': 108.04742431640625, 'learning_rate': 2.8e-07, 'rewards/chosen': -0.03056640736758709, 'rewards/rejected': 0.03151550516486168, 'rewards/accuracies': 0.0, 'rewards/margins': -0.06208191066980362, 'logps/chosen': -405.93365478515625, 'logps/rejected': -398.323486328125, 'logits/chosen': -22.789533615112305, 'logits/rejected': -25.106178283691406, 'epoch': 0.07}
{'loss': 0.6911, 'grad_norm': 37.117835998535156, 'learning_rate': 2.7e-07, 'rewards/chosen': 0.004547882359474897, 'rewards/rejected': 0.00048065185546875, 'rewards/accuracies': 1.0, 'rewards/margins': 0.004067230504006147, 'logps/chosen': -56.837493896484375, 'logps/rejected': -64.95103454589844, 'logits/chosen': -20.080530166625977, 'logits/rejected': -22.710803985595703, 'epoch': 0.07}
{'loss': 0.6947, 'grad_norm': 41.20687484741211, 'learning_rate': 2.6e-07, 'rewards/chosen': -0.007439422886818647, 'rewards/rejected': -0.0042633055709302425, 'rewards/accuracies': 0.0, 'rewards/margins': -0.003176117315888405, 'logps/chosen': -39.649131774902344, 'logps/rejected': -114.17790985107422, 'logits/chosen': -18.131471633911133, 'logits/rejected': -21.09274673461914, 'epoch': 0.07}
{'loss': 0.7403, 'grad_norm': 89.69685363769531, 'learning_rate': 2.5e-07, 'rewards/chosen': -0.05934448167681694, 'rewards/rejected': 0.03292541578412056, 'rewards/accuracies': 0.0, 'rewards/margins': -0.0922698974609375, 'logps/chosen': -723.1748657226562, 'logps/rejected': -212.543701171875, 'logits/chosen': -19.530183792114258, 'logits/rejected': -21.554031372070312, 'epoch': 0.07}
{'loss': 0.6817, 'grad_norm': 64.1882095336914, 'learning_rate': 2.4e-07, 'rewards/chosen': 0.0052886963821947575, 'rewards/rejected': -0.01777038536965847, 'rewards/accuracies': 1.0, 'rewards/margins': 0.02305908128619194, 'logps/chosen': -297.9675598144531, 'logps/rejected': -204.02630615234375, 'logits/chosen': -21.700761795043945, 'logits/rejected': -15.783817291259766, 'epoch': 0.08}
{'loss': 0.702, 'grad_norm': 80.21517944335938, 'learning_rate': 2.3e-07, 'rewards/chosen': 0.01738281361758709, 'rewards/rejected': 0.03496093675494194, 'rewards/accuracies': 0.0, 'rewards/margins': -0.01757812313735485, 'logps/chosen': -581.4014892578125, 'logps/rejected': -291.00946044921875, 'logits/chosen': -22.7576847076416, 'logits/rejected': -23.142803192138672, 'epoch': 0.08}
{'loss': 0.6917, 'grad_norm': 95.61013793945312, 'learning_rate': 2.1999999999999998e-07, 'rewards/chosen': -0.025970458984375, 'rewards/rejected': -0.02879028394818306, 'rewards/accuracies': 1.0, 'rewards/margins': 0.0028198249638080597, 'logps/chosen': -771.7227172851562, 'logps/rejected': -583.6715087890625, 'logits/chosen': -18.95863914489746, 'logits/rejected': -20.836509704589844, 'epoch': 0.08}
{'loss': 0.6776, 'grad_norm': 176.00787353515625, 'learning_rate': 2.0999999999999997e-07, 'rewards/chosen': 0.03741455078125, 'rewards/rejected': 0.0060058594681322575, 'rewards/accuracies': 1.0, 'rewards/margins': 0.03140868991613388, 'logps/chosen': -100.3742446899414, 'logps/rejected': -811.46240234375, 'logits/chosen': -19.929733276367188, 'logits/rejected': -20.5523624420166, 'epoch': 0.08}
{'loss': 0.6859, 'grad_norm': 134.1038360595703, 'learning_rate': 2e-07, 'rewards/chosen': 0.02951660193502903, 'rewards/rejected': 0.014923095703125, 'rewards/accuracies': 1.0, 'rewards/margins': 0.01459350623190403, 'logps/chosen': -704.2918701171875, 'logps/rejected': -752.636474609375, 'logits/chosen': -19.706701278686523, 'logits/rejected': -21.491992950439453, 'epoch': 0.08}
{'loss': 0.6905, 'grad_norm': 67.13662719726562, 'learning_rate': 1.8999999999999998e-07, 'rewards/chosen': 0.0044425963424146175, 'rewards/rejected': -0.0008865356794558465, 'rewards/accuracies': 1.0, 'rewards/margins': 0.005329132080078125, 'logps/chosen': -32.641510009765625, 'logps/rejected': -154.12547302246094, 'logits/chosen': -18.019351959228516, 'logits/rejected': -20.509498596191406, 'epoch': 0.08}
{'loss': 0.7043, 'grad_norm': 79.75045013427734, 'learning_rate': 1.8e-07, 'rewards/chosen': 0.002447509905323386, 'rewards/rejected': 0.024694060906767845, 'rewards/accuracies': 0.0, 'rewards/margins': -0.022246550768613815, 'logps/chosen': -348.0536193847656, 'logps/rejected': -110.46272277832031, 'logits/chosen': -23.054122924804688, 'logits/rejected': -25.37413215637207, 'epoch': 0.08}
{'loss': 0.7304, 'grad_norm': 82.05561828613281, 'learning_rate': 1.7000000000000001e-07, 'rewards/chosen': -0.04664306715130806, 'rewards/rejected': 0.02656250074505806, 'rewards/accuracies': 0.0, 'rewards/margins': -0.07320556789636612, 'logps/chosen': -668.2974853515625, 'logps/rejected': -341.58062744140625, 'logits/chosen': -20.083797454833984, 'logits/rejected': -21.054443359375, 'epoch': 0.08}
{'loss': 0.6892, 'grad_norm': 11.711779594421387, 'learning_rate': 1.6e-07, 'rewards/chosen': 0.007114410400390625, 'rewards/rejected': -0.0007094383472576737, 'rewards/accuracies': 1.0, 'rewards/margins': 0.007823849096894264, 'logps/chosen': -5.912773132324219, 'logps/rejected': -0.5119433403015137, 'logits/chosen': -25.208782196044922, 'logits/rejected': -26.197158813476562, 'epoch': 0.08}
{'loss': 0.6547, 'grad_norm': 56.93463897705078, 'learning_rate': 1.5e-07, 'rewards/chosen': 0.03015747107565403, 'rewards/rejected': -0.04826660081744194, 'rewards/accuracies': 1.0, 'rewards/margins': 0.07842407375574112, 'logps/chosen': -364.38494873046875, 'logps/rejected': -407.83746337890625, 'logits/chosen': -22.059764862060547, 'logits/rejected': -21.209508895874023, 'epoch': 0.08}
{'loss': 0.6931, 'grad_norm': 3.855122486129403e-06, 'learning_rate': 1.4e-07, 'rewards/chosen': -0.0021334649063646793, 'rewards/rejected': -0.0021334649063646793, 'rewards/accuracies': 0.0, 'rewards/margins': 0.0, 'logps/chosen': -6.427663803100586, 'logps/rejected': -6.427663803100586, 'logits/chosen': -25.693052291870117, 'logits/rejected': -25.693052291870117, 'epoch': 0.08}
{'loss': 0.6902, 'grad_norm': 77.0150375366211, 'learning_rate': 1.3e-07, 'rewards/chosen': -0.0521240234375, 'rewards/rejected': -0.05805664137005806, 'rewards/accuracies': 1.0, 'rewards/margins': 0.00593261793255806, 'logps/chosen': -541.6288452148438, 'logps/rejected': -459.410400390625, 'logits/chosen': -23.86479949951172, 'logits/rejected': -23.662233352661133, 'epoch': 0.09}
{'loss': 0.6657, 'grad_norm': 100.95768737792969, 'learning_rate': 1.2e-07, 'rewards/chosen': -0.0019287109607830644, 'rewards/rejected': -0.05764465406537056, 'rewards/accuracies': 1.0, 'rewards/margins': 0.05571594461798668, 'logps/chosen': -445.9206848144531, 'logps/rejected': -483.171142578125, 'logits/chosen': -24.451053619384766, 'logits/rejected': -23.727739334106445, 'epoch': 0.09}
{'loss': 0.6852, 'grad_norm': 64.03662109375, 'learning_rate': 1.0999999999999999e-07, 'rewards/chosen': 0.016025925055146217, 'rewards/rejected': 3.9672853745287284e-05, 'rewards/accuracies': 1.0, 'rewards/margins': 0.015986252576112747, 'logps/chosen': -25.246315002441406, 'logps/rejected': -104.02734375, 'logits/chosen': -20.3577823638916, 'logits/rejected': -19.3785343170166, 'epoch': 0.09}
{'loss': 0.6951, 'grad_norm': 61.06065368652344, 'learning_rate': 1e-07, 'rewards/chosen': 0.01358642615377903, 'rewards/rejected': 0.01744384877383709, 'rewards/accuracies': 0.0, 'rewards/margins': -0.0038574226200580597, 'logps/chosen': -259.6354675292969, 'logps/rejected': -225.53817749023438, 'logits/chosen': -20.650941848754883, 'logits/rejected': -20.28826141357422, 'epoch': 0.09}
{'loss': 0.6902, 'grad_norm': 34.541236877441406, 'learning_rate': 9e-08, 'rewards/chosen': 0.01174774207174778, 'rewards/rejected': 0.005874824710190296, 'rewards/accuracies': 1.0, 'rewards/margins': 0.005872917361557484, 'logps/chosen': -110.60956573486328, 'logps/rejected': -23.17531967163086, 'logits/chosen': -19.269371032714844, 'logits/rejected': -16.216001510620117, 'epoch': 0.09}
{'loss': 0.6611, 'grad_norm': 45.00088882446289, 'learning_rate': 8e-08, 'rewards/chosen': 0.02946319617331028, 'rewards/rejected': -0.035689543932676315, 'rewards/accuracies': 1.0, 'rewards/margins': 0.06515274196863174, 'logps/chosen': -202.70848083496094, 'logps/rejected': -62.75550079345703, 'logits/chosen': -22.202606201171875, 'logits/rejected': -19.09642219543457, 'epoch': 0.09}
{'loss': 0.7078, 'grad_norm': 87.02484130859375, 'learning_rate': 7e-08, 'rewards/chosen': 0.05422363430261612, 'rewards/rejected': 0.08332214504480362, 'rewards/accuracies': 0.0, 'rewards/margins': -0.0290985107421875, 'logps/chosen': -504.8060302734375, 'logps/rejected': -358.7398376464844, 'logits/chosen': -23.44662094116211, 'logits/rejected': -23.13983154296875, 'epoch': 0.09}
{'loss': 0.633, 'grad_norm': 70.19692993164062, 'learning_rate': 6e-08, 'rewards/chosen': -0.0122222900390625, 'rewards/rejected': -0.13640137016773224, 'rewards/accuracies': 1.0, 'rewards/margins': 0.12417908012866974, 'logps/chosen': -345.5970764160156, 'logps/rejected': -560.509033203125, 'logits/chosen': -20.875097274780273, 'logits/rejected': -21.529382705688477, 'epoch': 0.09}
{'loss': 0.709, 'grad_norm': 128.51742553710938, 'learning_rate': 5e-08, 'rewards/chosen': -0.05971679836511612, 'rewards/rejected': -0.02817993238568306, 'rewards/accuracies': 0.0, 'rewards/margins': -0.03153686597943306, 'logps/chosen': -1278.187255859375, 'logps/rejected': -1011.0336303710938, 'logits/chosen': -18.001567840576172, 'logits/rejected': -19.353309631347656, 'epoch': 0.09}
{'loss': 0.6931, 'grad_norm': 4.722721769212512e-06, 'learning_rate': 4e-08, 'rewards/chosen': 0.019232749938964844, 'rewards/rejected': 0.019232749938964844, 'rewards/accuracies': 0.0, 'rewards/margins': 0.0, 'logps/chosen': -13.075326919555664, 'logps/rejected': -13.075326919555664, 'logits/chosen': -22.92142105102539, 'logits/rejected': -22.92142105102539, 'epoch': 0.09}
{'loss': 0.702, 'grad_norm': 112.83235931396484, 'learning_rate': 3e-08, 'rewards/chosen': 0.03525390848517418, 'rewards/rejected': 0.05296630784869194, 'rewards/accuracies': 0.0, 'rewards/margins': -0.01771239936351776, 'logps/chosen': -1054.47412109375, 'logps/rejected': -779.383056640625, 'logits/chosen': -20.497386932373047, 'logits/rejected': -21.901498794555664, 'epoch': 0.1}
{'loss': 0.7115, 'grad_norm': 116.7009048461914, 'learning_rate': 2e-08, 'rewards/chosen': -0.0020172118674963713, 'rewards/rejected': 0.03441162034869194, 'rewards/accuracies': 0.0, 'rewards/margins': -0.03642883151769638, 'logps/chosen': -495.0952453613281, 'logps/rejected': -846.6382446289062, 'logits/chosen': -23.659626007080078, 'logits/rejected': -22.974388122558594, 'epoch': 0.1}
{'loss': 0.7537, 'grad_norm': 102.92708587646484, 'learning_rate': 1e-08, 'rewards/chosen': -0.09504394978284836, 'rewards/rejected': 0.02263793908059597, 'rewards/accuracies': 0.0, 'rewards/margins': -0.11768189072608948, 'logps/chosen': -890.766357421875, 'logps/rejected': -523.1040649414062, 'logits/chosen': -21.041942596435547, 'logits/rejected': -21.997276306152344, 'epoch': 0.1}
{'train_runtime': 1427.3432, 'train_samples_per_second': 0.07, 'train_steps_per_second': 0.07, 'train_loss': 0.6922209084033966, 'epoch': 0.1}
